Time (seconds), Rate (beats per minute)
0,103.2
5,108.2
10,109.9
15,112.8
20,115.5
25,120
30,123.6
35,125.5
40,127.8
45,127.4
50,126.7
55,128.1
60,130.3
65,129.5
70,129.3
75,129.7
80,131.2
85,133.2
90,134.7
95,135
100,135.6
105,137.2
110,142.4
115,146.9
120,148.9
125,149.6
130,148.9
135,148.6
140,147.5
145,146.9
150,145.9
155,145.8
160,143.8
165,140.7
170,138.4
175,139.1
180,138.1
185,136.4
190,136.7
195,137.2
200,138.7
205,140.2
210,142.5
215,143.9
220,144.2
225,145.3
230,144.3
235,142.9
240,142
245,142.6
250,145.4
255,146.3
260,147.3
265,148.7
270,150.1
275,150.2
280,149.8
285,149.4
290,149.9
295,150.1
300,150.4
305,151.1
310,153.4
315,152.6
320,153.3
325,154.2
330,155.9
335,157
340,157.2
345,157.6
350,157.3
355,157.1
360,160.2
365,160.9
370,162.6
375,163.7
380,163.4
385,163.1
390,162.3
395,162.5
400,162.2
405,162.4
410,162.2
415,163
420,162.8
